,вопрос,класс
361,следовать сохранить кнопка сохранить справочник,1
362,сводный перечень заказчик пользователь доступный,1
363,запись организация первоначально следовать проверить,1
364,сведение организация дополнить недоставать поле,1
365,сведение организация следовать открыть редактирование,1
366,кнопка редактировать рисунок первый очередь,1
367,необходимо обратить внимание поле сократить,1
368,наименование наименование место нахождение почтовый,1
369,адрес код территория муниципальный образование,1
370,октмый октмый ппо телефон контактный,1
371,адрес электронный почта контактный лицо,1
372,фио руководитель должность руководитель отсутствие,1
373,значение ряд поле привести печатный,1
374,форма генерировать автоматически дать значение,1
375,отсутствовать сохранение внести изменение необходимо,1
376,нажать кнопка сохранить проведение закупка,1
377,лекарственный препарат случай отсутствие необходимый,1
378,лекарственный препарат справочник мнн предусмотреть,1
379,возможность ручной ввод данные справочник,1
380,мнн справочник заполняться администратор система,1
381,заказчик зависимость настройка регион существовать,1
382,вариант заполнение справочник помощь добавление,1
383,новый значение копирование существующий запись,1
384,добавление новый запись вносить вручную,1
385,возможно случай факт обращение стп,1
386,еис получить разрешение размещение закупка,1
387,лекарственный препарат ввести вручную получение,1
388,разрешение стп еис обратиться администратор,1
389,система разрешить ваш учётный запись,1
390,создать сведение лекарственный препарат использовать,1
391,описание объект закупка добавление информация,1
392,лекарственный препарат справочник мнн метод,1
393,копирование существующий запись являться наиболее,1
394,простой поскольку избавлять пользователь ручной,1
395,заполнение часть поле добавление новый,1
396,значение метод копирование необходимо навигатор,1
397,перейти папка справочник справочник мнн,1
398,выбрать нужный препарат воспользоваться быстрый,1
399,поиск нажать кнопка копировать рисунок,1
400,результат открыться экранный форма заполнить,1
401,данные лекарственный препарат основа выбрать,1
402,строка копирование справочник мнн рисунок,1
403,дать поле наименование наименование лекарственный,1
404,форма код окпд2 доступный редактирование,1
405,поле код окпд2 заполняться выбор,1
406,справочник номенклатура окпд2 рисунок данный,1
407,справочник ограничить код окпд2 разрез,1
408,лекарственный препарат групповой наименование провитамин,1
409,витамин производный групповой наименование препарат,1
410,лекарственный групповой наименование сыворотка вакцина,1
411,групповой наименование реагент диагностический прочий,1
412,фармацевтический препарат информация вкладка анатомый,1
413,терапевтически химический классификация атх недоступный,1
414,ручной ввод редактирование строка удалить,1
415,нажатие кнопка удалить строка вкладка,1
416,дозировка содержать информация дозировка препарат,1
417,сведение препарат вводиться форма основа,1
418,копирование существующий строка справочник мнн,1
419,информация табличный часть вкладка перенести,1
420,выбрать копирование строка предзаполнить поле,1
421,вкладка дозировка доступный изменение необходимость,1
422,рисунок вкладка дополнительно следовать заполнить,1
423,поле рисунок комментарий причина корректировка,1
424,сведение лекарственный препарат комментарий номер,1
425,обращение служба технический поддержка указывать,1
426,номер обращение стп еис ссылка,1
427,сведение лекарственный препарат грлс поле,1
428,причина корректировка сведение лекарственный препарат,1
429,заполняться выбор значение одноимённый справочник,1
430,данный справочник загружаться синхронизироваться данные,1
431,еис окончание ввод данные сохранить,1
432,справочный значение кнопка сохранить сохранять,1
433,форма пройти ряд контроль корректность,1
434,заполнение случай отсутствие ошибка форма,1
435,успешно сохраниться случай обнаружение недочёт,1
436,вывести протокол указание ошибка проведение,1
437,закупка лекарственный препарат случай отсутствие,1
438,необходимый лекарственный препарат справочник предусмотреть,1
439,возможность ручной ввод данные справочник,1
440,заполняться администратор система заказчик зависимость,1
441,настройка регион добавление новый запись,1
442,вносить вручную возможно случай факт,1
443,обращение стп еис получить разрешение,1
444,размещение закупка лекарственный препарат ввести,1
445,вручную получение разрешение стп еис,1
446,обратиться администратор система разрешить ваш,1
447,учётный запись создать сведение лекарственный,1
448,препарат использовать описание объект закупка,1
449,настройка отвечать возможность использование вручную,1
450,внести сведение лекарственный препарат администратор,1
451,система располагаться путь меню настройка,1
452,справочник госзаказ реестр лекарственный наркотический,1
453,средство справочник мнн настройка работа,1
454,справочник мнн обоснование нмцк запрет,1
455,выбор мнн ввести вручную этап,1
456,размещение приз меню настройка справочник,1
457,госзаказ реестр лекарственный наркотический средство,1
458,справочник мнн настройка работа справочник,1
459,мнн обоснование нмцк запрет выбор,1
460,мнн ввести вручную этап контракт,1
461,меню настройка справочник госзаказ реестр,1
462,лекарственный наркотический средство справочник мнн,1
463,настройка работа справочник мнн обоснование,1
464,нмцк запрет выбор мнн ввести,1
465,вручную этап малый закупка ввод,1
466,новый запись справочник необходимо перейти,1
467,папка справочник справочник нажать кнопка,1
468,создать рисунок результат открыться экранный,1
469,форма ввод новый запись справочник,1
470,рисунок открыться форма необходимо заполнить,1
471,поле торговый наименование лекарственный препарат,1
472,проставить флаг актуальность запись актуальный,1
473,запись доступный выбор документ вкладка,1
474,мнн блок международный группировочный химический,1
475,наименование лекарственный препарат мнн заполнить,1
476,поле наименование выборава требовать значение,1
477,справочник мнн вызываться нажатие кнопка,1
478,рисунок причём данный справочник отражаться,1
479,информация ввести справочник мнн вручную,1
480,администратор пользователь система рисунок вкладка,1
481,держатель владелец необходимо заполнить следующий,1
482,поле наименование держатель владелец разработчик,1
483,лекарственный средство производитель лекарственный средство,1
484,иной юридический лицо обладать право,1
485,владение регистрационный удостоверение лицо нести,1
486,ответственность качество эффективность безопасность лекарственный,1
487,препарат номер регистрационный удостоверение номер,1
488,удостоверение производитель разработчик лекарственный средство,1
489,рисунок вкладка производитель блок поле,1
490,производитель вводиться информация производитель лекарственный,1
491,препарат рисунок страна классификация оксм,1
492,заполняться выбор страна производитель справочник,1
493,общероссийский классификатор страна мир вызываться,1
494,нажатие кнопка рисунок наименование производитель,1
495,вкладка упаковка блок сведение упаковка,1
496,расположить поле рисунок наименование вид,1
497,первичный упаковка заполняться выбор справочник,1
498,сведение упаковка вызываться нажатие кнопка,1
499,рисунок количество лекарственный форма первичный,1
500,упаковка количество первичный упаковка вторичный,1
501,потребительский упаковка комплектность упаковка поле,1
502,вкладка дозировка доступный заполнение вкладка,1
